source_id,citation_key,title,author_or_institution,publication_year,access_date,country_or_region,topic,evidence_type,population,indicator,time_period,unit,source_url,summary,comparability_notes,status
R3S001,census2025hinc02,HINC-02 Age of Householder—Households by Total Money Income Type of Household Race and Hispanic Origin,U.S. Census Bureau,2025,2026-07-20,United States,household income by age and household type,official CPS table,households,household income distribution by family/nonfamily type and age,2024 income,USD/household/year,https://www.census.gov/data/tables/time-series/demo/income-poverty/cps-hinc/hinc-02.html,"Provides age and household-type income distributions for family and nonfamily households.","Money income; not aligned directly with CE consumer units or after-tax resources.",analyzed-round-03
R3S002,bls2026cetableguide,Consumer Expenditure Surveys Tables Getting Started Guide,U.S. Bureau of Labor Statistics,2026,2026-07-20,United States,consumer expenditure methods,official methodology,consumer units,income expenditure demographic table design and caveats,current guide,methodological,https://www.bls.gov/cex/tables-getting-started-guide.htm,"Defines consumer units reference persons table dimensions and 2024 tax-data limitation.","2024 CE lacks after-tax income estimates because TAXSIM was not updated.",analyzed-round-03
R3S003,bls2026demotables,Consumer Expenditure Survey Demographic Tables 2024,U.S. Bureau of Labor Statistics,2026,2026-07-20,United States,expenditure by household characteristics,official table index,consumer units,age composition earners size tenure income,2024,USD/consumer unit/year,https://www.bls.gov/cex/tables/calendar-year/mean-item-share-average-standard-error.htm,"Lists 2024 tables by age composition earners housing tenure and other characteristics.","Most standard tables are one-dimensional margins; joint archetypes require microdata.",analyzed-round-03
R3S004,bls2026familyemployment,Employment Characteristics of Families 2025 Table 2,U.S. Bureau of Labor Statistics,2026,2026-07-20,United States,dual-earner families,official labour table,married-couple families,employment combinations of spouses,2025,number and percent,https://www.bls.gov/news.release/famee.t02.htm,"Reports the prevalence of both spouses employed and other employment combinations.","Employment status alone does not identify children income housing or financial pooling.",analyzed-round-03
R3S005,rosenzweigzhang2019coresidence,"Housing Prices Inter-generational Co-residence and Excess Savings by the Young",Rosenzweig and Zhang,2019,2026-07-20,China,young adult co-residence housing and saving,NBER working paper,young adults and linked families,co-residence individual saving and housing prices,Chinese survey period,model and estimated effects,https://doi.org/10.3386/w26209,"Studies housing prices parental co-residence and young adults' saving.","Working paper; data and institutional period must be retained.",analyzed-round-03
R3S006,chfs2026data2021,2021年中国家庭金融调查数据公开发布,中国家庭金融调查与研究中心,2026,2026-07-20,China,household finance microdata,data documentation,22027 households and members,income expenditure employment housing assets debt social security,2021-2022 fieldwork,household/person,https://chfs.swufe.edu.cn/info/1041/4051.htm,"Documents CHFS sample coverage and variables required for household archetypes.","Weights access conditions and cross-wave consistency require formal extraction.",analyzed-round-03
R3S007,liuetal2024housingportfolio,Research on the Impact and Heterogeneity of Housing on the Allocation of Financial Assets of Households,"Liu et al.",2024,2026-07-20,China,housing and portfolio allocation,journal article,CHFS 2019 households,housing ownership risky asset participation,2019,estimated effects,https://doi.org/10.1016/j.heliyon.2024.e34901,"Finds different portfolio associations for one-home and multiple-home households.","Observational and model-based estimates; not a full cash-flow archetype.",analyzed-round-03
R3S008,geetal2019children,Chinese Household Saving and Dependent Children Theory and Evidence,"Ge et al.",2019,2026-07-20,China,children and household saving,journal article,CHFS households,family size demographics and saving rate,CHFS wave,estimated saving effects,https://doi.org/10.1016/j.chieco.2017.08.005,"Examines how dependent children affect household saving rates.","Education and child expenditure classifications require attention.",analyzed-round-03
R3S009,bakeretal2022fertility,Fertility and Savings The Effect of China's Two-Child Policy on Household Savings,"Baker Benmelech Yang and Zhang",2022,2026-07-20,China,fertility and household saving,NBER working paper,bank customers linked to administrative records,income spending births credit and saving,policy period,transaction and estimated effects,https://doi.org/10.3386/w29856,"Uses transactions and administrative data around births to assess fertility and saving mechanisms.","Regional bank sample; external validity to all Chinese households must be evaluated.",analyzed-round-03
R3S010,abs2022families,Households and Families Census 2021,Australian Bureau of Statistics,2022,2026-07-20,Australia,family composition,official census release,families and households,couple with children couple without children lone parent,2021,count and percent,https://www.abs.gov.au/statistics/people/people-and-communities/household-and-families-census/latest-release,"Provides family-type population counts and shares.","Census family type does not itself indicate complete financial pooling or current income.",analyzed-round-03
R3S011,abs2025personalincome,Personal Income in Australia 2022-23,Australian Bureau of Statistics,2025,2026-07-20,Australia,personal income by age and source,official linked administrative statistics,income earners,total and employee income by age sex geography and migration status,2022-23,AUD/person/year,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/personal-income-australia/2022-23,"Provides current personal-income medians sources and downloadable age tables.","Tax-record income is individual and not equivalent to household disposable income.",analyzed-round-03
R3S012,abs2021familycomposition,Family Composition Census Variable,Australian Bureau of Statistics,2021,2026-07-20,Australia,family classification,official census dictionary,families,family type and relationships,2021,category,https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/family-composition-fmcf,"Defines couple no children couple with children lone parent and other family categories.","Relationship classification must be combined with income employment and tenure variables.",analyzed-round-03
R3S013,abs2026sihnonrelease,Survey of Income and Housing Results Will Not Be Released,Australian Bureau of Statistics,2026,2026-07-20,Australia,income wealth and housing data quality,official statement,private households,non-release of 2023-24 SIH,2023-24,metadata,https://www.abs.gov.au/media-centre/media-statements/survey-income-and-housing-results-will-not-be-released,"Explains the absence of the planned current SIH household distribution release.","Requires combining older SIH HILDA Census and current national accounts.",analyzed-round-03
R3S014,bls2025ce2024,Consumer Expenditures 2024,U.S. Bureau of Labor Statistics,2025,2026-07-20,United States,aggregate household expenditure,official release,consumer units,income expenditure housing transport and demographics,2024,USD/consumer unit/year,https://www.bls.gov/news.release/cesan.nr0.htm,"Provides 2024 overall CE benchmark and links to demographic tables.","Aggregate mean is not an archetype and 2024 after-tax income is unavailable.",analyzed-round-03
